edad,tipo_trabajo,estado_civil,nivel_educativo,incumplimiento_pago,saldo_promedio_anual,credito_hipotecario,credito_consumo,medio_contacto,dia_contacto,mes_contacto,duracion_contacto,num_contactos_campania,dias_desde_contacto_previo,num_contactos_previos,resultado_campania_previa,suscripcion_deposito
58,gerencia,casado,superior,no,2143.0,si,no,desconocido,5,mayo,261.0,1,-1.0,0,desconocido,no
44,tecnico,soltero,secundaria,no,29.0,si,no,desconocido,5,mayo,151.0,1,-1.0,0,desconocido,no
33,emprendedor,casado,secundaria,no,2.0,si,si,desconocido,5,mayo,76.0,1,-1.0,0,desconocido,no
47,obrero,casado,desconocido,no,1506.0,si,no,desconocido,5,mayo,92.0,1,-1.0,0,desconocido,no
33,desconocido,soltero,desconocido,no,1.0,no,no,desconocido,5,mayo,198.0,1,-1.0,0,desconocido,no
35,gerencia,casado,superior,no,231.0,si,no,desconocido,5,mayo,139.0,1,-1.0,0,desconocido,no
28,gerencia,soltero,superior,no,447.0,si,si,desconocido,5,mayo,217.0,1,-1.0,0,desconocido,no
42,emprendedor,divorciado,superior,si,2.0,si,no,desconocido,5,mayo,380.0,1,-1.0,0,desconocido,no
58,jubilado,casado,primaria,no,121.0,si,no,desconocido,5,mayo,50.0,1,-1.0,0,desconocido,no
43,tecnico,soltero,secundaria,no,593.0,si,no,desconocido,5,mayo,55.0,1,-1.0,0,desconocido,no
41,,divorciado,secundaria,no,270.0,si,no,desconocido,5,mayo,222.0,1,-1.0,0,desconocido,no
29,,soltero,secundaria,no,390.0,si,no,desconocido,5,mayo,137.0,1,-1.0,0,desconocido,no
58,tecnico,casado,desconocido,no,71.0,si,no,desconocido,5,mayo,71.0,1,-1.0,0,desconocido,no
57,servicios,casado,secundaria,no,162.0,si,no,desconocido,5,mayo,174.0,1,-1.0,0,desconocido,no
51,jubilado,casado,primaria,no,229.0,si,no,desconocido,5,mayo,353.0,1,-1.0,0,desconocido,no
45,,soltero,desconocido,no,13.0,si,no,desconocido,5,mayo,98.0,1,-1.0,0,desconocido,no
57,obrero,casado,primaria,no,52.0,si,no,desconocido,5,mayo,38.0,1,-1.0,0,desconocido,no
60,jubilado,casado,primaria,no,60.0,si,no,desconocido,5,mayo,219.0,1,-1.0,0,desconocido,no
33,servicios,casado,secundaria,no,0.0,si,no,desconocido,5,mayo,54.0,1,-1.0,0,desconocido,no
28,obrero,casado,secundaria,no,723.0,si,si,desconocido,5,mayo,262.0,1,-1.0,0,desconocido,no
56,gerencia,casado,superior,no,779.0,si,no,desconocido,5,mayo,164.0,1,-1.0,0,desconocido,no
32,obrero,soltero,primaria,no,23.0,si,si,desconocido,5,mayo,160.0,1,-1.0,0,desconocido,no
25,servicios,casado,secundaria,no,50.0,si,no,desconocido,5,mayo,342.0,1,-1.0,0,desconocido,no
40,jubilado,casado,primaria,no,0.0,si,si,desconocido,5,mayo,181.0,1,-1.0,0,desconocido,no
44,,casado,secundaria,no,-372.0,si,no,desconocido,5,mayo,172.0,1,-1.0,0,desconocido,no
39,gerencia,soltero,superior,no,255.0,si,no,desconocido,5,mayo,296.0,1,-1.0,0,desconocido,no
52,emprendedor,casado,secundaria,no,113.0,si,si,desconocido,5,mayo,127.0,1,-1.0,0,desconocido,no
46,gerencia,soltero,secundaria,no,-246.0,si,no,desconocido,5,mayo,255.0,2,-1.0,0,desconocido,no
36,tecnico,soltero,secundaria,no,265.0,si,si,desconocido,5,mayo,348.0,1,-1.0,0,desconocido,no
57,tecnico,casado,secundaria,no,839.0,no,si,desconocido,5,mayo,225.0,1,-1.0,0,desconocido,no
49,gerencia,casado,superior,no,378.0,si,no,desconocido,5,mayo,230.0,1,-1.0,0,desconocido,no
60,,casado,secundaria,no,39.0,si,si,desconocido,5,mayo,208.0,1,-1.0,0,desconocido,no
59,obrero,casado,secundaria,no,0.0,si,no,desconocido,5,mayo,226.0,1,-1.0,0,desconocido,no
51,gerencia,casado,superior,no,10635.0,si,no,desconocido,5,mayo,336.0,1,-1.0,0,desconocido,no
57,tecnico,divorciado,secundaria,no,63.0,si,no,desconocido,5,mayo,242.0,1,-1.0,0,desconocido,no
25,obrero,casado,secundaria,no,-7.0,si,no,desconocido,5,mayo,365.0,1,-1.0,0,desconocido,no
53,tecnico,casado,secundaria,no,-3.0,no,no,desconocido,5,mayo,1666.0,1,-1.0,0,desconocido,no
36,,divorciado,secundaria,no,506.0,si,no,desconocido,5,mayo,577.0,1,-1.0,0,desconocido,no
37,,soltero,secundaria,no,0.0,si,no,desconocido,5,mayo,137.0,1,-1.0,0,desconocido,no
44,servicios,divorciado,secundaria,no,2586.0,si,no,desconocido,5,mayo,160.0,1,-1.0,0,desconocido,no
50,gerencia,casado,secundaria,no,49.0,si,no,desconocido,5,mayo,180.0,2,-1.0,0,desconocido,no
60,obrero,casado,desconocido,no,104.0,si,no,desconocido,5,mayo,22.0,1,-1.0,0,desconocido,no
54,jubilado,casado,secundaria,no,529.0,si,no,desconocido,5,mayo,1492.0,1,-1.0,0,desconocido,no
58,jubilado,casado,desconocido,no,96.0,si,no,desconocido,5,mayo,616.0,1,-1.0,0,desconocido,no
36,,soltero,primaria,no,-171.0,si,no,desconocido,5,mayo,242.0,1,-1.0,0,desconocido,no
58,independiente,casado,superior,no,-364.0,si,no,desconocido,5,mayo,355.0,1,-1.0,0,desconocido,no
44,tecnico,casado,secundaria,no,0.0,si,no,desconocido,5,mayo,225.0,2,-1.0,0,desconocido,no
55,tecnico,divorciado,secundaria,no,0.0,no,no,desconocido,5,mayo,160.0,1,-1.0,0,desconocido,no
29,gerencia,soltero,superior,no,0.0,si,no,desconocido,5,mayo,363.0,1,-1.0,0,desconocido,no
54,obrero,casado,secundaria,no,1291.0,si,no,desconocido,5,mayo,266.0,1,-1.0,0,desconocido,no
48,gerencia,divorciado,superior,no,-244.0,si,no,desconocido,5,mayo,253.0,1,-1.0,0,desconocido,no
