,nonsmoker,smoker
0,7.69,6.88
1,8.88,8.25
2,9.0,5.5
3,7.94,2.69
4,1.63,8.38
5,8.75,7.81
6,6.5,4.75
7,7.44,2.19
8,6.0,7.38
9,7.81,6.88
10,7.81,9.13
11,7.31,7.38
12,3.75,6.0
13,8.06,7.81
14,6.88,6.13
15,7.63,7.75
16,8.25,6.94
17,7.19,4.5
18,7.56,8.13
19,6.81,7.31
20,3.75,6.19
21,8.75,8.56
22,6.56,6.44
23,7.44,5.94
24,7.75,8.38
25,8.81,7.06
26,6.88,7.0
27,4.69,6.38
28,6.75,5.38
29,5.81,6.5
30,6.81,7.5
31,7.25,6.88
32,7.19,8.13
33,8.0,6.31
34,8.38,8.0
35,9.69,8.88
36,7.31,9.06
37,10.13,7.31
38,7.5,7.56
39,6.25,6.75
40,6.5,7.94
41,8.5,5.0
42,7.5,1.69
43,4.5,6.31
44,5.94,6.88
45,6.0,6.31
46,6.88,7.69
47,9.31,7.31
48,6.75,5.63
49,5.13,8.19
50,5.06,
51,5.38,
52,7.69,
53,7.88,
54,7.88,
55,8.25,
56,7.75,
57,7.0,
58,5.69,
59,6.75,
60,8.19,
61,8.19,
62,7.44,
63,8.25,
64,9.19,
65,7.5,
66,6.81,
67,8.13,
68,8.38,
69,9.5,
70,8.75,
71,8.06,
72,7.44,
73,7.5,
74,7.31,
75,7.88,
76,6.81,
77,5.94,
78,7.69,
79,7.38,
80,5.63,
81,7.81,
82,8.0,
83,7.19,
84,6.5,
85,2.63,
86,8.44,
87,7.19,
88,8.38,
89,7.19,
90,6.56,
91,7.63,
92,8.38,
93,5.88,
94,6.88,
95,7.0,
96,7.63,
97,6.0,
98,8.13,
99,3.63,
